dataset,target,model_a,model_b,auc_a,auc_b,diff,ci_lo,ci_hi,z,p_raw,p_holm
RSNA,intraventricular,ViT,U-Net,0.9710713891640905,0.9541220480313591,0.016949341132731388,0.014838465265400457,0.01906021700006232,15.737589640380687,8.356672144697694e-56,2.5070016434093082e-55
RSNA,intraventricular,Hybrid,U-Net,0.9802010129089288,0.9541220480313591,0.026078964877569666,0.02403173603058408,0.028126193724555253,24.96732692555763,1.384714012906243e-137,8.308284077437458e-137
RSNA,subarachnoid,CNN,ViT,0.9308192130885101,0.9221036534824116,0.008715559606098489,0.005448077507176422,0.011983041705020556,5.227934665258152,1.7141405796137003e-07,1.7141405796137003e-07
RSNA,subarachnoid,CNN,Hybrid,0.9308192130885101,0.9389367334382015,-0.008117520349691376,-0.010048281378211343,-0.006186759321171409,-8.24029866677079,1.7178130098260735e-16,3.435626019652147e-16
RSNA,subarachnoid,CNN,U-Net,0.9308192130885101,0.8866746305160806,0.04414458257242948,0.04047931993617024,0.04780984520868872,23.605891457431863,3.352936176282155e-123,1.6764680881410776e-122
RSNA,subarachnoid,ViT,Hybrid,0.9221036534824116,0.9389367334382015,-0.016833079955789865,-0.018408850887220676,-0.015257309024359053,-20.937199566357034,2.4546987257867997e-97,9.818794903147199e-97
RSNA,subarachnoid,ViT,U-Net,0.9221036534824116,0.8866746305160806,0.03542902296633099,0.03175445191938611,0.03910359401327587,18.897337440021683,1.1995516625433011e-79,3.598654987629904e-79
RSNA,subarachnoid,Hybrid,U-Net,0.9389367334382015,0.8866746305160806,0.05226210292212086,0.048885460551112876,0.05563874529312884,30.33541258712123,3.9132550237544553e-202,2.3479530142526733e-201
RSNA,subdural,CNN,ViT,0.9322710956332708,0.9266276658358894,0.005643429797381416,0.0029718956612285507,0.008314963933534283,4.1402874110663594,3.468709425720333e-05,3.468709425720333e-05
RSNA,subdural,CNN,Hybrid,0.9322710956332708,0.9416780356195561,-0.009406939986285279,-0.010934067332205187,-0.00787981264036537,-12.073167065673003,1.4638986224010768e-33,2.9277972448021537e-33
RSNA,subdural,CNN,U-Net,0.9322710956332708,0.8545093633248614,0.07776173230840944,0.07397161547139383,0.08155184914542504,40.21253202841562,0.0,0.0
RSNA,subdural,ViT,Hybrid,0.9266276658358894,0.9416780356195561,-0.015050369783666695,-0.016421876158977174,-0.013678863408356218,-21.50787138945592,1.3139700313575017e-102,3.941910094072505e-102
RSNA,subdural,ViT,U-Net,0.9266276658358894,0.8545093633248614,0.07211830251102802,0.06830811666125101,0.07592848836080503,37.09773777991745,3.0555699927923568e-301,1.2222279971169427e-300
RSNA,subdural,Hybrid,U-Net,0.9416780356195561,0.8545093633248614,0.08716867229469472,0.08356830860245669,0.09076903598693274,47.45283334739314,0.0,0.0
PhysioNet,any ICH,CNN,ViT,0.8097609561752989,0.8046812749003984,0.005079681274900438,-0.05370170088246616,0.06386106343226704,0.16937322645959016,0.8655030814270985,1.0
PhysioNet,any ICH,CNN,Hybrid,0.8097609561752989,0.8014940239043825,0.00826693227091635,-0.021551935911435068,0.03808580045326777,0.5433770797249039,0.5868702033677134,1.0
PhysioNet,any ICH,CNN,U-Net,0.8097609561752989,0.8617778884462152,-0.052016932270916305,-0.13199891967715785,0.02796505513532524,-1.2746784262740047,0.2024230858643914,0.8096923434575656
PhysioNet,any ICH,ViT,Hybrid,0.8046812749003984,0.8014940239043825,0.0031872509960159112,-0.031372433997142096,0.03774693598917392,0.18075677377028576,0.8565584936571531,1.0
PhysioNet,any ICH,ViT,U-Net,0.8046812749003984,0.8617778884462152,-0.05709661354581674,-0.12536844545848186,0.011175218366848386,-1.6391431583695744,0.10118344854836726,0.6071006912902036
PhysioNet,any ICH,Hybrid,U-Net,0.8014940239043825,0.8617778884462152,-0.060283864541832655,-0.1334378383527869,0.012870109269121605,-1.6151440201487797,0.10627951000120778,0.6071006912902036
CQ500,any ICH,CNN,ViT,0.7233958883144321,0.7746026544322465,-0.051206766117814384,-0.07118162008380956,-0.031231912151819214,-5.024488165297177,5.047769250235051e-07,1.0095538500470102e-06
CQ500,any ICH,CNN,Hybrid,0.7233958883144321,0.7905920004462403,-0.0671961121318082,-0.08183914679991253,-0.052553077463703884,-8.994171130819916,2.3802140760301557e-19,1.190107038015078e-18
CQ500,any ICH,CNN,U-Net,0.7233958883144321,0.8466882349454925,-0.12329234663106037,-0.14371057641162122,-0.10287411685049952,-11.834941694914605,2.575223958417265e-32,1.545134375050359e-31
CQ500,any ICH,ViT,Hybrid,0.7746026544322465,0.7905920004462403,-0.01598934601399382,-0.023117903745789162,-0.008860788282198481,-4.39619674874742,1.1016408672575526e-05,1.1016408672575526e-05
CQ500,any ICH,ViT,U-Net,0.7746026544322465,0.8466882349454925,-0.07208558051324598,-0.09261032150390931,-0.051560839522582655,-6.883650403914712,5.8337941405958364e-12,2.3335176562383346e-11
CQ500,any ICH,Hybrid,U-Net,0.7905920004462403,0.8466882349454925,-0.05609623449925216,-0.07491268659924688,-0.03727978239925744,-5.843109992392154,5.1235163192434054e-09,1.5370548957730215e-08
