dataset,method,metric,n_slices,n_patients,mean,std,median,q1,q3,ci_lo,ci_hi
CQ500,Hybrid,recall,799,11,0.180685302872649,0.292803626813729,0.01075268816202879,0.0,0.22858837246894836,0.09313009901589073,0.2707789503358913
CQ500,Hybrid,precision,799,11,0.03394238104338866,0.06775534801798147,0.001685565453954041,0.0,0.03464400768280029,0.01281510454394073,0.06264120250944227
CQ500,Hybrid,pg,799,11,0.030037546933667083,0.170690634505455,0.0,0.0,0.0,0.0045941171952999,0.05279984524568121
CQ500,Hybrid,ap,799,11,0.050615395205200676,0.08452098959584473,0.018332907930016518,0.004377459175884724,0.06420527026057243,0.02350268426523869,0.08036682269909302
CQ500,U-Net,dice,799,11,0.3641094002940165,0.3448443209663547,0.2664042115211487,0.010639502201229334,0.7352153062820435,0.1887536708240633,0.5015582343778251
CQ500,U-Net,iou,799,11,0.28819759467053396,0.29037509936155864,0.1654135286808014,0.010471491608768702,0.5819017291069031,0.14780779733140562,0.40618619855309296
CQ500,U-Net,recall,799,11,0.3475416603304961,0.3554143328175459,0.20761245489120483,0.0,0.6901777386665344,0.1584871337453312,0.49423024150016753
CQ500,U-Net,precision,799,11,0.4685522904910977,0.4271192566653761,0.4640614092350006,0.0,0.9424320161342621,0.30814350949550695,0.6437445587718613
CQ500,U-Net,pg,799,11,0.5807259073842302,0.49344029818914537,1.0,0.0,1.0,0.3760392043710025,0.7334427422500974
CQ500,U-Net,ap,799,11,0.4525162413863584,0.373523727445394,0.5015809535980225,0.018440979532897472,0.8289203643798828,0.25602084300950406,0.6094009758385989
CQ500,Chance,dice,799,11,0.017592730788383235,0.018055268123414334,0.009334501810371876,0.003548258333466947,0.029542292468249798,0.010240389937466838,0.025148653614933236
CQ500,Chance,iou,799,11,0.008973980603075823,0.009285133335478485,0.0047042397782206535,0.0017924454878084362,0.015007402282208204,0.005189659410834457,0.012845813425230735
CQ500,Chance,recall,799,11,0.4981789366250044,0.05888772930000598,0.49940547347068787,0.4819939136505127,0.5152690410614014,0.49587041835715573,0.5004545088400647
CQ500,Chance,precision,799,11,0.009113942960887451,0.009557001086238684,0.004692260641604662,0.0017655515111982822,0.015203813090920448,0.005215385563119254,0.013085640581043353
CQ500,Chance,pg,799,11,0.017521902377972465,0.13120550794470967,0.0,0.0,0.0,0.004679281598508523,0.034178226220690264
CQ500,Chance,ap,799,11,0.009282590383115937,0.009540211865224702,0.005047876387834549,0.0019571046577766538,0.01546415500342846,0.0054101216352541335,0.013269963829282982
