unit,dataset,metric,method_a,method_b,n,mean_a,mean_b,median_diff,W,p_raw,effect_rank_biserial,p_holm
patient,PhysioNet,precision,ViT,Hybrid,6,0.00986145271430488,0.01825129089789845,-0.001919217156682862,3.0,0.3125,-0.6,0.9375
patient,PhysioNet,precision,ViT,U-Net,6,0.00986145271430488,0.45741467981878353,-0.47459993278681223,0.0,0.0625,-1.0,0.625
patient,PhysioNet,precision,ViT,Chance,6,0.00986145271430488,0.003537102913573543,0.003556905677315727,1.0,0.0625,0.9047619047619048,0.625
patient,PhysioNet,precision,Hybrid,U-Net,6,0.01825129089789845,0.45741467981878353,-0.47477066857640915,0.0,0.0625,-1.0,0.625
patient,PhysioNet,precision,Hybrid,Chance,6,0.01825129089789845,0.003537102913573543,0.010549376711828195,1.0,0.0625,0.9047619047619048,0.625
patient,PhysioNet,precision,U-Net,Chance,6,0.45741467981878353,0.003537102913573543,0.47635259101257865,1.0,0.0625,0.9047619047619048,0.625
patient,PhysioNet,pg,CNN,ViT,6,0.0,0.04292929292929293,0.0,0.0,0.5,-1.0,1.0
patient,PhysioNet,pg,CNN,Hybrid,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
patient,PhysioNet,pg,CNN,U-Net,6,0.0,0.586489898989899,-0.696969696969697,0.0,0.0625,-1.0,0.625
patient,PhysioNet,pg,CNN,Chance,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
patient,PhysioNet,pg,ViT,Hybrid,6,0.04292929292929293,0.0,0.0,0.0,0.5,1.0,1.0
patient,PhysioNet,pg,ViT,U-Net,6,0.04292929292929293,0.586489898989899,-0.6515151515151515,0.0,0.0625,-1.0,0.625
patient,PhysioNet,pg,ViT,Chance,6,0.04292929292929293,0.0,0.0,0.0,0.5,1.0,1.0
patient,PhysioNet,pg,Hybrid,U-Net,6,0.0,0.586489898989899,-0.696969696969697,0.0,0.0625,-1.0,0.625
patient,PhysioNet,pg,Hybrid,Chance,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
patient,PhysioNet,pg,U-Net,Chance,6,0.586489898989899,0.0,0.696969696969697,0.0,0.0625,1.0,0.625
patient,PhysioNet,ap,CNN,ViT,6,0.013165021427271667,0.02145828884932301,-0.0008110057517317021,7.0,0.5625,-0.3333333333333333,1.0
patient,PhysioNet,ap,CNN,Hybrid,6,0.013165021427271667,0.020173739679411534,-0.0019020341928211045,5.0,0.3125,-0.5238095238095238,0.9375
patient,PhysioNet,ap,CNN,U-Net,6,0.013165021427271667,0.38892734132653023,-0.331623878884141,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,ap,CNN,Chance,6,0.013165021427271667,0.003659071162957831,0.006041756833755327,0.0,0.03125,1.0,0.3125
patient,PhysioNet,ap,ViT,Hybrid,6,0.02145828884932301,0.020173739679411534,-0.0007277190112896883,10.0,1.0,-0.047619047619047616,1.0
patient,PhysioNet,ap,ViT,U-Net,6,0.02145828884932301,0.38892734132653023,-0.32959473013114704,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,ap,ViT,Chance,6,0.02145828884932301,0.003659071162957831,0.007530400599617596,0.0,0.03125,1.0,0.3125
patient,PhysioNet,ap,Hybrid,U-Net,6,0.020173739679411534,0.38892734132653023,-0.3297218446913199,0.0,0.03125,-1.0,0.3125
patient,PhysioNet,ap,Hybrid,Chance,6,0.020173739679411534,0.003659071162957831,0.01551965274980334,1.0,0.0625,0.9047619047619048,0.3125
patient,PhysioNet,ap,U-Net,Chance,6,0.38892734132653023,0.003659071162957831,0.33543303205380026,0.0,0.03125,1.0,0.3125
patient,CQ500,dice,CNN,ViT,11,0.014870130042497326,0.048369556049900696,-0.022309343599111096,0.0,0.0009765625,-1.0,0.009765625
patient,CQ500,dice,CNN,Hybrid,11,0.014870130042497326,0.04205881831754749,-0.01757800049611098,2.0,0.0029296875,-0.9393939393939394,0.0205078125
patient,CQ500,dice,CNN,U-Net,11,0.014870130042497326,0.36166206528981176,-0.461794748678623,0.0,0.0009765625,-1.0,0.009765625
patient,CQ500,dice,CNN,Chance,11,0.014870130042497326,0.013868176878840743,-0.0037617333914062735,23.0,0.4130859375,-0.30303030303030304,0.556640625
patient,CQ500,dice,ViT,Hybrid,11,0.048369556049900696,0.04205881831754749,0.005481931249758215,20.0,0.2783203125,0.3939393939393939,0.556640625
patient,CQ500,dice,ViT,U-Net,11,0.048369556049900696,0.36166206528981176,-0.4538357842507139,3.0,0.0048828125,-0.9090909090909091,0.0205078125
patient,CQ500,dice,ViT,Chance,11,0.048369556049900696,0.013868176878840743,0.01769071487625214,0.0,0.0009765625,1.0,0.009765625
patient,CQ500,dice,Hybrid,U-Net,11,0.04205881831754749,0.36166206528981176,-0.42975101679001293,2.0,0.0029296875,-0.9393939393939394,0.0205078125
patient,CQ500,dice,Hybrid,Chance,11,0.04205881831754749,0.013868176878840743,0.00756703987172121,13.0,0.0830078125,0.6060606060606061,0.2490234375
patient,CQ500,dice,U-Net,Chance,11,0.36166206528981176,0.013868176878840743,0.4613318585331948,2.0,0.0029296875,0.9393939393939394,0.0205078125
patient,CQ500,iou,CNN,ViT,11,0.008094172007716368,0.026441269580873172,-0.01127190231424968,0.0,0.0009765625,-1.0,0.009765625
